sample_id,code_snippet,label,LoC,NoM,NoP,CC,MND,NoF,CR,NoW,MNW,SCCL,sStC,PBM,FAC,MC,API,DbC,SyncIO,ImgC,AsyncUI,TmrStr
1,"Widget build(BuildContext context) {
return MaterialApp(
title: 'Task Manager',
debugShowCheckedModeBanner: false,
theme: ThemeData(
primarySwatch: Colors.red,
visualDensity: VisualDensity.adaptivePlatformDensity,
),
home: Splash(),
);
}",0,11,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
2,"class AddTaskScreen extends StatefulWidget {
final Function updateTaskList;
final Task task;

AddTaskScreen({this.updateTaskList, this.task});

@override
-AddTaskScreenState createState() => -AddTaskScreenState();
}",0,7,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3,"class -AddTaskScreenState extends State<AddTaskScreen> {
final -formKey = GlobalKey<FormState>();
String -title = '';
String -priority;
DateTime -date = DateTime.now();
TextEditingController -dateController = TextEditingController();
final DateFormat -dateFormatter = DateFormat('MMM dd, yyyy');

final List<String> -priorities = ['Low', 'Medium', 'High'];

@override
void initState() {
super.initState();

if (widget.task != null) {
-title = widget.task.title;
-date = widget.task.date;
-priority = widget.task.priority;
}

-dateController.text = -dateFormatter.format(-date);
}

@override
void dispose() {
-dateController.dispose();
super.dispose();
}

-handleDatePicker() async {
final DateTime date = await showDatePicker(
context: context,
initialDate: -date,
firstDate: DateTime(2000),
lastDate: DateTime(2100),
);
if (date != null && date != -date) {
setState(() {
-date = date;
});
-dateController.text = -dateFormatter.format(date);
}
}

-delete() {
DatabaseHelper.instance.deleteTask(widget.task.id);
Navigator.pop(context);
widget.updateTaskList();
Toast.show(""Task Deleted"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
}

-submit() {
if (-formKey.currentState.validate()) {
-formKey.currentState.save();
print('$-title, $-date, $-priority');

Task task = Task(title: -title, date: -date, priority: -priority);
if (widget.task == null) {
// Insert the task to our user's database
task.status = 0;
DatabaseHelper.instance.insertTask(task);
Toast.show(""New Task Added"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
} else {
// Update the task
task.id = widget.task.id;
task.status = widget.task.status;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task Updated"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
}
Navigator.push(context, MaterialPageRoute(builder: (-) => HomeScreen()));
widget.updateTaskList();
}
}

@override
Widget build(BuildContext context) {
return Scaffold(
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.arrow-back-ios,
color: Colors.black,
),
onPressed: () => Navigator.pop(context)),
title: Row(children: [
Text(
widget.task == null ? 'Add Task' : 'Update Task',
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
),
),
]),
// actions: [
// IconButton(
// icon: Icon(
// Icons.info-outline,
// color: Colors.black,
// ),
// onPressed: () {}),
// ],
centerTitle: false,
elevation: 0,
),
body: GestureDetector(
onTap: () => FocusScope.of(context).unfocus(),
child: SingleChildScrollView(
child: Container(
padding: EdgeInsets.symmetric(horizontal: 40.0, vertical: 40.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Form(
key: -formKey,
child: Column(
children: <Widget>[
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: TextFormField(
style: TextStyle(fontSize: 18.0),
decoration: InputDecoration(
labelText: 'Title',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
validator: (input) => input.trim().isEmpty
? 'Please enter a task title'
: null,
onSaved: (input) => -title = input,
initialValue: -title,
),
),
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: TextFormField(
readOnly: true,
controller: -dateController,
style: TextStyle(fontSize: 18.0),
onTap: -handleDatePicker,
decoration: InputDecoration(
labelText: 'Date',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
),
),
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: DropdownButtonFormField(
isDense: true,
icon: Icon(Icons.arrow-drop-down-circle),
iconSize: 22.0,
iconEnabledColor: Theme.of(context).primaryColor,
items: -priorities.map((String priority) {
return DropdownMenuItem(
value: priority,
child: Text(
priority,
style: TextStyle(
color: Colors.black,
fontSize: 18.0,
),
),
);
}).toList(),
style: TextStyle(fontSize: 18.0),
decoration: InputDecoration(
labelText: 'Priority',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
validator: (input) => -priority == null
? 'Please select a priority level'
: null,
onChanged: (value) {
setState(() {
-priority = value;
});
},
value: -priority,
),
),
Container(
margin: EdgeInsets.symmetric(vertical: 20.0),
height: 60.0,
width: double.infinity,
decoration: BoxDecoration(
color: Theme.of(context).primaryColor,
borderRadius: BorderRadius.circular(30.0),
),
// ignore: deprecated-member-use
child: FlatButton(
child: Text(
widget.task == null ? 'Add' : 'Update',
style: TextStyle(
color: Colors.white,
fontSize: 20.0,
),
),
onPressed: -submit,
),
),
widget.task != null
? Container(
margin: EdgeInsets.symmetric(vertical: 0.0),
height: 60.0,
width: double.infinity,
decoration: BoxDecoration(
color: Theme.of(context).primaryColor,
borderRadius: BorderRadius.circular(30.0),
),
// ignore: deprecated-member-use
child: FlatButton(
child: Text(
'Delete',
style: TextStyle(
color: Colors.white,
fontSize: 20.0,
),
),
onPressed: -delete,
),
)
: SizedBox.shrink(),
],
),
),
],
),
),
),
),
);
}
}",0,224,5,1,11,3,0,5.3999999999999999E-2,53,12,6,2,0,3,0,0,0,0,0,1,0
4,"@override
void initState() {
super.initState();

if (widget.task != null) {
-title = widget.task.title;
-date = widget.task.date;
-priority = widget.task.priority;
}

-dateController.text = -dateFormatter.format(-date);
}",0,10,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"void dispose() {
-dateController.dispose();
super.dispose();
}
",0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"-handleDatePicker() async {
final DateTime date = await showDatePicker(
context: context,
initialDate: -date,
firstDate: DateTime(2000),
lastDate: DateTime(2100),
);
if (date != null && date != -date) {
setState(() {
-date = date;
});
-dateController.text = -dateFormatter.format(date);
}
}",0,14,0,0,3,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0
7,"-delete() {
DatabaseHelper.instance.deleteTask(widget.task.id);
Navigator.pop(context);
widget.updateTaskList();
Toast.show(""Task Deleted"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
}",1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"-submit() {
if (-formKey.currentState.validate()) {
-formKey.currentState.save();
print('$-title, $-date, $-priority');

Task task = Task(title: -title, date: -date, priority: -priority);
if (widget.task == null) {
// Insert the task to our user's database
task.status = 0;
DatabaseHelper.instance.insertTask(task);
Toast.show(""New Task Added"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
} else {
// Update the task
task.id = widget.task.id;
task.status = widget.task.status;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task Updated"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
}
Navigator.push(context, MaterialPageRoute(builder: (-) => HomeScreen()));
widget.updateTaskList();
}
}",0,21,1,0,3,2,0,9.5000000000000001E-2,3,2,0,0,0,1,0,0,0,0,0,0,0
9,"Widget build(BuildContext context) {
return Scaffold(
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.arrow-back-ios,
color: Colors.black,
),
onPressed: () => Navigator.pop(context)),
title: Row(children: [
Text(
widget.task == null ? 'Add Task' : 'Update Task',
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
),
),
]),
// actions: [
// IconButton(
// icon: Icon(
// Icons.info-outline,
// color: Colors.black,
// ),
// onPressed: () {}),
// ],
centerTitle: false,
elevation: 0,
),
body: GestureDetector(
onTap: () => FocusScope.of(context).unfocus(),
child: SingleChildScrollView(
child: Container(
padding: EdgeInsets.symmetric(horizontal: 40.0, vertical: 40.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Form(
key: -formKey,
child: Column(
children: <Widget>[
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: TextFormField(
style: TextStyle(fontSize: 18.0),
decoration: InputDecoration(
labelText: 'Title',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
validator: (input) => input.trim().isEmpty
? 'Please enter a task title'
: null,
onSaved: (input) => -title = input,
initialValue: -title,
),
),
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: TextFormField(
readOnly: true,
controller: -dateController,
style: TextStyle(fontSize: 18.0),
onTap: -handleDatePicker,
decoration: InputDecoration(
labelText: 'Date',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
),
),
Padding(
padding: EdgeInsets.symmetric(vertical: 20.0),
child: DropdownButtonFormField(
isDense: true,
icon: Icon(Icons.arrow-drop-down-circle),
iconSize: 22.0,
iconEnabledColor: Theme.of(context).primaryColor,
items: -priorities.map((String priority) {
return DropdownMenuItem(
value: priority,
child: Text(
priority,
style: TextStyle(
color: Colors.black,
fontSize: 18.0,
),
),
);
}).toList(),
style: TextStyle(fontSize: 18.0),
decoration: InputDecoration(
labelText: 'Priority',
labelStyle: TextStyle(fontSize: 18.0),
border: OutlineInputBorder(
borderRadius: BorderRadius.circular(10.0),
),
),
validator: (input) => -priority == null
? 'Please select a priority level'
: null,
onChanged: (value) {
setState(() {
-priority = value;
});
},
value: -priority,
),
),
Container(
margin: EdgeInsets.symmetric(vertical: 20.0),
height: 60.0,
width: double.infinity,
decoration: BoxDecoration(
color: Theme.of(context).primaryColor,
borderRadius: BorderRadius.circular(30.0),
),
// ignore: deprecated-member-use
child: FlatButton(
child: Text(
widget.task == null ? 'Add' : 'Update',
style: TextStyle(
color: Colors.white,
fontSize: 20.0,
),
),
onPressed: -submit,
),
),
widget.task != null
? Container(
margin: EdgeInsets.symmetric(vertical: 0.0),
height: 60.0,
width: double.infinity,
decoration: BoxDecoration(
color: Theme.of(context).primaryColor,
borderRadius: BorderRadius.circular(30.0),
),
// ignore: deprecated-member-use
child: FlatButton(
child: Text(
'Delete',
style: TextStyle(
color: Colors.white,
fontSize: 20.0,
),
),
onPressed: -delete,
),
)
: SizedBox.shrink(),
],
),
),
],
),
),
),
),
);
}",0,157,1,1,6,2,0,6.4000000000000001E-2,46,12,6,1,0,2,0,0,0,0,0,0,0
10,"class HistoryScreen extends StatefulWidget {
@override
-HistoryScreenState createState() => -HistoryScreenState();
}",0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
